name: Cisco-IOS-XR-fib-common-oper:mpls-forwarding/nodes/node/label-fib/forwarding-details/forwarding-detail
time                     source label_value label_information/outgoing_label label_information/outgoing_physical_interface label_information/tx_bytes
----                     ------ ----------- -------------------------------- --------------------------------------------- --------------------------
2021-03-18T20:13:16.807Z R02    100103      1048580                          Gi0/0/0/2                                     2360145
2021-03-18T20:13:16.868Z R02    100103      1048580                          Gi0/0/0/2                                     2360145
2021-03-18T20:13:46.855Z R02    100103      1048580                          Gi0/0/0/2                                     2414668
2021-03-18T20:13:46.939Z R02    100103      1048580                          Gi0/0/0/2                                     2414668
2021-03-18T20:14:16.812Z R02    100103      1048580                          Gi0/0/0/2                                     2464816
2021-03-18T20:14:16.875Z R02    100103      1048580                          Gi0/0/0/2                                     2464816
2021-03-18T20:14:46.844Z R02    100103      1048580                          Gi0/0/0/2                                     2513711
2021-03-18T20:14:46.928Z R02    100103      1048580                          Gi0/0/0/2                                     2513711
2021-03-18T20:15:16.795Z R02    100103      1048580                          Gi0/0/0/2                                     2568983
2021-03-18T20:15:16.893Z R02    100103      1048580                          Gi0/0/0/2                                     2568983
2021-03-18T20:15:47.126Z R02    100103      1048580                          Gi0/0/0/2                                     2621196
2021-03-18T20:15:47.242Z R02    100103      1048580                          Gi0/0/0/2                                     2621196
2021-03-18T20:16:16.811Z R02    100103      1048580                          Gi0/0/0/2                                     2675502
2021-03-18T20:16:16.901Z R02    100103      1048580                          Gi0/0/0/2                                     2675502
2021-03-18T20:16:46.81Z  R02    100103      1048580                          Gi0/0/0/2                                     2729857
2021-03-18T20:16:46.874Z R02    100103      1048580                          Gi0/0/0/2                                     2729857
2021-03-18T20:17:16.825Z R02    100103      1048580                          Gi0/0/0/2                                     2774083
2021-03-18T20:17:16.892Z R02    100103      1048580                          Gi0/0/0/2                                     2782567
2021-03-18T20:17:46.8Z   R02    100103      1048580                          Gi0/0/0/2                                     2827556
2021-03-18T20:17:46.865Z R02    100103      1048580                          Gi0/0/0/2                                     2827556
2021-03-18T20:18:16.813Z R02    100103      1048580                          Gi0/0/0/2                                     2877578
2021-03-18T20:18:16.87Z  R02    100103      1048580                          Gi0/0/0/2                                     2877578
2021-03-18T20:18:46.836Z R02    100103      1048580                          Gi0/0/0/2                                     2938527
2021-03-18T20:18:46.908Z R02    100103      1048580                          Gi0/0/0/2                                     2938527
2021-03-18T20:19:16.831Z R02    100103      1048580                          Gi0/0/0/2                                     2984685
2021-03-18T20:19:16.895Z R02    100103      1048580                          Gi0/0/0/2                                     2984685
2021-03-18T20:19:46.805Z R02    100103      1048580                          Gi0/0/0/2                                     3033874
2021-03-18T20:19:46.874Z R02    100103      1048580                          Gi0/0/0/2                                     3033874
2021-03-18T20:20:16.839Z R02    100103      1048580                          Gi0/0/0/2                                     3089986
2021-03-18T20:20:16.906Z R02    100103      1048580                          Gi0/0/0/2                                     3089986
2021-03-18T20:20:46.828Z R02    100103      1048580                          Gi0/0/0/2                                     3141905
2021-03-18T20:20:46.897Z R02    100103      1048580                          Gi0/0/0/2                                     3141905
2021-03-18T20:21:16.841Z R02    100103      1048580                          Gi0/0/0/2                                     3189617
2021-03-18T20:21:16.907Z R02    100103      1048580                          Gi0/0/0/2                                     3189617
2021-03-18T20:21:46.81Z  R02    100103      1048580                          Gi0/0/0/2                                     3237126
2021-03-18T20:21:46.891Z R02    100103      1048580                          Gi0/0/0/2                                     3237126
2021-03-18T20:22:16.808Z R02    100103      1048580                          Gi0/0/0/2                                     3287232
2021-03-18T20:22:16.871Z R02    100103      1048580                          Gi0/0/0/2                                     3287232
2021-03-18T20:22:46.831Z R02    100103      1048580                          Gi0/0/0/2                                     3342301
2021-03-18T20:22:46.895Z R02    100103      1048580                          Gi0/0/0/2                                     3342301
2021-03-18T20:23:16.849Z R02    100103      1048580                          Gi0/0/0/2                                     3397111
2021-03-18T20:23:16.954Z R02    100103      1048580                          Gi0/0/0/2                                     3397111
2021-03-18T20:23:46.834Z R02    100103      1048580                          Gi0/0/0/2                                     3449156
2021-03-18T20:23:46.899Z R02    100103      1048580                          Gi0/0/0/2                                     3449156
2021-03-18T20:24:16.848Z R02    100103      1048580                          Gi0/0/0/2                                     3498632
2021-03-18T20:24:16.964Z R02    100103      1048580                          Gi0/0/0/2                                     3498632
2021-03-18T20:24:46.839Z R02    100103      1048580                          Gi0/0/0/2                                     3551912
2021-03-18T20:24:46.913Z R02    100103      1048580                          Gi0/0/0/2                                     3551912
2021-03-18T20:25:16.817Z R02    100103      1048580                          Gi0/0/0/2                                     3607310
2021-03-18T20:25:16.881Z R02    100103      1048580                          Gi0/0/0/2                                     3607310
2021-03-18T20:25:46.814Z R02    100103      1048580                          Gi0/0/0/2                                     3662295
2021-03-18T20:25:46.884Z R02    100103      1048580                          Gi0/0/0/2                                     3662295
2021-03-18T20:26:16.804Z R02    100103      1048580                          Gi0/0/0/2                                     3717735
2021-03-18T20:26:16.876Z R02    100103      1048580                          Gi0/0/0/2                                     3717735
2021-03-18T20:26:46.847Z R02    100103      1048580                          Gi0/0/0/2                                     3773476
2021-03-18T20:26:46.941Z R02    100103      1048580                          Gi0/0/0/2                                     3773476
2021-03-18T20:27:16.841Z R02    100103      1048580                          Gi0/0/0/2                                     3828706
2021-03-18T20:27:16.904Z R02    100103      1048580                          Gi0/0/0/2                                     3828706
2021-03-18T20:27:46.885Z R02    100103      1048580                          Gi0/0/0/2                                     3884447
2021-03-18T20:27:46.967Z R02    100103      1048580                          Gi0/0/0/2                                     3884447
2021-03-18T20:28:16.834Z R02    100103      1048580                          Gi0/0/0/2                                     3939719
2021-03-18T20:28:16.906Z R02    100103      1048580                          Gi0/0/0/2                                     3939719
2021-03-18T20:28:46.918Z R02    100103      1048580                          Gi0/0/0/2                                     3995460
2021-03-18T20:28:46.971Z R02    100103      1048580                          Gi0/0/0/2                                     3995460
2021-03-18T20:29:16.85Z  R02    100103      1048580                          Gi0/0/0/2                                     4050900
2021-03-18T20:29:16.923Z R02    100103      1048580                          Gi0/0/0/2                                     4050900
2021-03-18T20:29:46.827Z R02    100103      1048580                          Gi0/0/0/2                                     4106389
2021-03-18T20:29:46.9Z   R02    100103      1048580                          Gi0/0/0/2                                     4106389
2021-03-18T20:30:16.838Z R02    100103      1048580                          Gi0/0/0/2                                     4161829
2021-03-18T20:30:16.925Z R02    100103      1048580                          Gi0/0/0/2                                     4161829
2021-03-18T20:30:46.832Z R02    100103      1048580                          Gi0/0/0/2                                     4215764
2021-03-18T20:30:46.895Z R02    100103      1048580                          Gi0/0/0/2                                     4215764
2021-03-18T20:31:16.839Z R02    100103      1048580                          Gi0/0/0/2                                     4269986
2021-03-18T20:31:16.91Z  R02    100103      1048580                          Gi0/0/0/2                                     4269986
2021-03-18T20:31:46.775Z R02    100103      1048580                          Gi0/0/0/2                                     4325727
2021-03-18T20:31:46.833Z R02    100103      1048580                          Gi0/0/0/2                                     4325727
2021-03-18T20:32:16.828Z R02    100103      1048580                          Gi0/0/0/2                                     4381167
2021-03-18T20:32:16.894Z R02    100103      1048580                          Gi0/0/0/2                                     4381167
2021-03-18T20:32:46.845Z R02    100103      1048580                          Gi0/0/0/2                                     4436740
2021-03-18T20:32:46.916Z R02    100103      1048580                          Gi0/0/0/2                                     4436740
2021-03-18T20:33:16.866Z R02    100103      1048580                          Gi0/0/0/2                                     4492180
2021-03-18T20:33:16.939Z R02    100103      1048580                          Gi0/0/0/2                                     4492180
2021-03-18T20:33:46.839Z R02    100103      1048580                          Gi0/0/0/2                                     4547039
2021-03-18T20:33:46.907Z R02    100103      1048580                          Gi0/0/0/2                                     4547039
2021-03-18T20:34:16.806Z R02    100103      1048580                          Gi0/0/0/2                                     4601471
2021-03-18T20:34:16.871Z R02    100103      1048580                          Gi0/0/0/2                                     4601471
2021-03-18T20:34:46.865Z R02    100103      1048580                          Gi0/0/0/2                                     4655238
2021-03-18T20:34:46.941Z R02    100103      1048580                          Gi0/0/0/2                                     4655238
2021-03-18T20:35:16.888Z R02    100103      1048580                          Gi0/0/0/2                                     4711266
2021-03-18T20:35:16.974Z R02    100103      1048580                          Gi0/0/0/2                                     4711266
2021-03-18T20:35:46.818Z R02    100103      1048580                          Gi0/0/0/2                                     4762387
2021-03-18T20:35:46.881Z R02    100103      1048580                          Gi0/0/0/2                                     4762387
